frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url
80,0.0105618779,7.693564e-05,0.00140122115,4.46035847e-06,6.4331166e-06,0.741073549,0.246826127,4.93831831e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___80.jpg
81,0.0463655032,0.000313637021,0.00478905,0.000181318479,9.202519e-06,0.707982361,0.239654139,0.000704787439,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___81.jpg
82,0.07041643,0.00736973528,0.0205016732,0.00088614237,0.00179374288,0.813987851,0.0220691916,0.06297525,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___82.jpg
83,0.113218717,0.0005859571,0.008549706,0.00122479687,5.6271434e-05,0.750782251,0.122510768,0.00307150767,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___83.jpg
84,0.292582929,0.00103692512,0.0210296586,0.00273380755,0.0001098822,0.532765269,0.14726606,0.00247544167,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___84.jpg
85,0.01951302,0.009349789,0.0174504872,2.53108519e-05,0.0004341701,0.9455753,0.004170989,0.00348093966,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___85.jpg
86,0.00166040566,7.12703468e-06,0.000155956208,3.073588e-07,6.99723842e-07,0.5888082,0.409366667,6.78842639e-07,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___86.jpg
87,0.102889456,0.0008030297,0.0490504578,0.00281589129,8.155424e-06,0.42063272,0.4224627,0.00133759994,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___87.jpg
88,0.0310933776,0.0006398439,0.00433584,0.000196060268,4.62781427e-05,0.8401592,0.119681634,0.003847798,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___88.jpg
89,0.00691822032,0.000174825022,0.00179646083,7.053432e-05,0.000109627043,0.8839413,0.106219076,0.000769953,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___89.jpg
90,0.3410809,0.00345449476,0.0537012555,0.000220160509,9.099741e-05,0.5183408,0.003445828,0.07966553,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___90.jpg
91,0.165541932,0.00309715769,0.03821783,0.00116804661,2.10274447e-05,0.7241671,0.0182935353,0.04949336,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___91.jpg
92,0.107818678,0.00242986321,0.0180963017,0.0008028351,2.7727554e-05,0.812510669,0.04407072,0.014243233,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___92.jpg
