frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,date
50,0.06798184,0.006239527,0.013988593,0.000945907,0.000187509,0.8631201,0.018236755,0.02929981,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___50.jpg,1_24_17
51,0.003520265,0.000272948,0.000545221,2.92E-06,3.12E-05,0.787747145,0.207848057,3.23E-05,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___51.jpg,1_24_17
52,0.010569088,0.003148747,0.01361413,0.00120781,0.00015372,0.745160937,0.209072158,0.017073406,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___52.jpg,1_24_17
53,0.027051268,0.002330099,0.007107115,4.65E-05,0.001758636,0.753599,0.000353583,0.207753822,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___53.jpg,1_24_17
54,0.009021226,0.000172051,0.001842486,2.37E-05,1.20E-05,0.712280631,0.2764899,0.000158014,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___54.jpg,1_24_17
55,0.258275539,0.008111425,0.026097842,0.000186115,0.000490769,0.689988434,0.001216377,0.015633496,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___55.jpg,1_24_17
56,0.042716015,0.001228047,0.015951295,0.002336754,9.33E-05,0.708412468,0.00813533,0.22112675,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___56.jpg,1_24_17
57,0.183711573,0.007504168,0.012336311,0.001017741,1.20E-05,0.7552602,0.005427477,0.03473054,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___57.jpg,1_24_17
58,0.000873182,4.31E-05,8.99E-05,9.44E-08,7.22E-06,0.7460702,0.2529155,8.21E-07,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___58.jpg,1_24_17
59,0.004318767,0.000494783,0.000412812,6.17E-07,2.68E-05,0.727277339,0.2674662,2.70E-06,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___59.jpg,1_24_17
60,0.006783022,0.007020177,0.012145381,9.95E-06,0.528201342,0.435910165,0.000623285,0.009306655,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___60.jpg,1_24_17
61,0.00026349,0.018241448,0.001126502,1.89E-06,0.5422867,0.430813,0.000136864,0.007130127,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___61.jpg,1_24_17
62,0.003322062,0.01263165,0.0045284,7.62E-06,0.472988576,0.485668451,0.000182334,0.020670919,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___62.jpg,1_24_17
63,0.000526059,0.01885509,0.000506742,1.23E-07,0.008380598,0.9713565,0.000225668,0.000149202,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___63.jpg,1_24_17
