frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,date
56,0.000441155,3.80E-05,6.32E-05,1.33E-07,1.53E-05,0.898561656,0.100874491,6.07E-06,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___56.jpg,1_23_17
57,0.002223918,0.000302108,0.002153083,2.29E-05,0.001852124,0.8515197,0.141706929,0.00021922,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___57.jpg,1_23_17
58,0.07214835,0.004730826,0.009786163,0.000854209,0.000344882,0.840512156,0.002230541,0.06939286,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___58.jpg,1_23_17
59,0.000184903,1.44E-05,4.49E-05,9.48E-08,1.48E-05,0.8175781,0.182160348,2.39E-06,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___59.jpg,1_23_17
60,0.001126823,5.45E-05,0.000750613,2.84E-06,9.19E-05,0.908632636,0.089177765,0.000162943,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___60.jpg,1_23_17
61,0.001093745,7.91E-06,1.90E-05,2.14E-08,1.92E-07,0.7289786,0.2699004,2.03E-07,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___61.jpg,1_23_17
62,0.05449911,0.007691314,0.016074592,0.000399256,0.000510466,0.852357447,0.001922062,0.06654573,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___62.jpg,1_23_17
63,0.000287559,0.000249,0.000129275,1.12E-07,6.89E-05,0.931429446,0.06783001,5.65E-06,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___63.jpg,1_23_17
64,0.028495781,0.000918649,0.013905507,0.001067318,8.88E-05,0.8343563,0.10112001,0.020047642,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___64.jpg,1_23_17
65,0.140713334,0.011897392,0.021700457,0.000349335,0.000124591,0.8039192,0.008651534,0.012644143,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___65.jpg,1_23_17
66,0.000617957,7.61E-05,0.000448117,1.99E-06,4.83E-06,0.809957,0.188809156,8.48E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___66.jpg,1_23_17
67,0.001710482,9.13E-05,0.000823367,5.50E-06,0.00026401,0.9257648,0.07113294,0.000207659,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___67.jpg,1_23_17
68,0.001033455,6.06E-05,0.000153086,2.30E-07,7.21E-06,0.7527463,0.245996237,2.94E-06,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___68.jpg,1_23_17
69,0.000765607,0.002196818,0.002271937,1.65E-05,4.87E-05,0.740782261,0.253734618,0.000183501,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___69.jpg,1_23_17
70,0.008940843,0.000819631,0.008688842,0.000176153,6.10E-05,0.892619848,0.07502464,0.013669063,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___70.jpg,1_23_17
71,0.004161127,0.004642746,0.000390369,1.23E-06,0.000118109,0.9896367,0.000841024,0.00020865,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___71.jpg,1_23_17
72,0.015361482,0.000198115,0.002446325,4.77E-05,5.15E-06,0.836227059,0.144873068,0.000841139,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___72.jpg,1_23_17
73,0.06344034,0.000589216,0.015080706,0.000264796,2.49E-05,0.8295034,0.08417056,0.006926102,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___73.jpg,1_23_17
74,0.006079673,0.002348013,0.002936094,4.70E-05,0.000574286,0.7970914,0.190461829,0.000461641,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___74.jpg,1_23_17
75,0.001028459,0.000250888,0.003081905,1.99E-05,1.51E-05,0.5242408,0.471223831,0.00013917,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___75.jpg,1_23_17
76,0.012232114,0.000751737,0.009321663,0.000307781,0.000128221,0.836411238,0.1316911,0.009156137,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___76.jpg,1_23_17
77,0.005795955,0.000293126,0.001096983,4.90E-06,9.47E-06,0.724636734,0.2680954,6.74E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___77.jpg,1_23_17
78,0.008832774,0.000882334,0.00859664,0.000275058,0.000152344,0.830098748,0.139325619,0.011836489,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___78.jpg,1_23_17
79,0.004681863,0.00051128,0.005133427,5.96E-05,8.46E-05,0.839084148,0.148386091,0.002059019,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___79.jpg,1_23_17
80,0.006100748,0.001506593,0.00650062,0.000183712,0.000125142,0.6354577,0.3490712,0.00105425,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___80.jpg,1_23_17
81,0.000937538,0.000715261,0.000526539,8.55E-06,0.000783535,0.868742049,0.128188953,9.76E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___81.jpg,1_23_17
82,0.003764522,0.000193442,0.001407658,2.04E-05,1.85E-05,0.8583942,0.135913834,0.000287436,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___82.jpg,1_23_17
83,0.01423151,0.000942962,0.008326077,0.000414269,7.13E-05,0.8299211,0.141796708,0.004296075,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___83.jpg,1_23_17
84,0.03740967,0.007011007,0.02413989,0.000925974,0.000237811,0.8181164,0.09318351,0.0189757,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___84.jpg,1_23_17
